UN_CORE_CYCLE_USER_MODE,UNCLOCK_CYCLE_CORE
INST_RET_USER_MODE,INST_RET
LLC_MISSES_USER_MODE,LLC_MISS
LLC_REF_USER_MODE,LLC_REF
LLC_REF_USER_MODE,LLC_REF
LLC_MISSES_USER_MODE,LLC_MISS
BR_INSTR_RET_USER_MODE,BR_INSTR_RET
BR_MISS_RET_USER_MODE,BR_MISS_RET
INST_RET_USER_MODE_PREC_DIST,INST_RET_PREC_DIST
UOPS_RET_USER_MODE_ALL,UOPS_RET
UOPS_RET_USER_MODE_RETIRED_SLOTS,UOPS_RET_SLOTS
BR_INSTR_RET_USER_MODE_CONDITIONAL,BR_INSTR_RET_COND
BR_INSTR_RET_USER_MODE_NEAR_CALL,BR_INSTR_RET_NEAR_CALL
BR_INSTR_RET_USER_MODE_ALL_BRANCHES,BR_INSTR_RET_ALL_BRANCHES
BR_INSTR_RET_USER_MODE_NEAR_RETURN,BR_INSTR_RET_NEAR_RETURN
BR_INSTR_RET_USER_MODE_NEAR_TAKEN,BR_INSTR_RET_NEAR_TAKEN
BR_MISP_RET_USER_MODE_CONDITIONAL,BR_MISP_RET_COND
BR_MISP_RET_USER_MODE_NEAR_CALL,BR_MISP_RET_NEAR_CALL
BR_MISP_RET_USER_MODE_ALL_BRANCHES,BR_MISP_RET_ALL_BRANCHES
BR_MISP_RET_USER_MODE_NOT_TAKEN,BR_MISP_NOT_TAKEN
BR_MISP_RET_USER_MODE_TAKEN,BR_MISP_RET_TAKEN
MEM_UOPS_RET_USER_MODE_STLB_MISS_LOADS,MEM_UOPS_RET_MISS_LOADS
MEM_UOPS_RET_USER_MODE_STLB_MISS_STORE,MEM_UOPS_RET_MISS_STORE
MEM_UOPS_RET_USER_MODE_LOCK_LOADS,MEM_UOPS_RET_LOCK_LOADS
MEM_UOPS_RET_USER_MODE_SPLIT_LOADS,MEM_UOPS_RET_SPLIT_LOADS
MEM_UOPS_RET_USER_MODE_SPLIT_STORES,MEM_UOPS_RET_SPLIT_STORES
MEM_UOPS_RET_USER_MODE_ALL_LOADS,MEM_UOPS_RET_ALL_LOADS
MEM_UOPS_RET_USER_MODE_ALL_STORES,MEM_UOPS_RET_ALL_STORES
MEM_LOAD_UOPS_RET_USER_MODE_L1_HIT,MEM_LOAD_UOPS_RET_L1_HIT
MEM_LOAD_UOPS_RET_USER_MODE_L2_HIT,MEM_LOAD_UOPS_RET_L2_HIT
MEM_LOAD_UOPS_RET_USER_MODE_L3_HIT,MEM_LOAD_UOPS_RET_L3_HIT
MEM_LOAD_UOPS_RET_USER_MODE_HIT_LFB,MEM_LOAD_UOPS_RET_HIT_LFB
MEM_LOAD_UOPS_LLC_HIT_RET_USER_MODE_XSNP_MISS,MEM_LOAD_UOPS_LLC_HIT_RET_XSNP_MISS
MEM_LOAD_UOPS_LLC_HIT_RET_USER_MODE_XSNP_HIT,MEM_LOAD_UOPS_LLC_HIT_RET_XSNP_HIT
MEM_LOAD_UOPS_LLC_HIT_RET_USER_MODE_XSNP_HITM,MEM_LOAD_UOPS_LLC_HIT_RET_XSNP_HITM
MEM_LOAD_UOPS_LLC_HIT_RET_USER_MODE_XSNP_NONE,MEM_LOAD_UOPS_LLC_HIT_RET_XSNP_NONE